D1,S,S,S,S,0.329,0.401
M1,M1,S,D2,S,0.116,0.155
S,M1,S,D1,M,0.343,0.484
S,S,M1,S,M,0.277,0.322
M1,M1,S,D1,M,0.37,0.37
S,D1,M1,D1,M,0.343,0.418
S,S,M1,D1,S,0.171,0.299
S,S,S,D1,M,0.329,0.577
S,M1,S,D1,M,0.141,0.179
D1,M1,M1,S,S,0.147,0.23
M1,S,S,D1,S,0.263,0.487
S,S,S,D1,M,0.185,0.226
M1,M1,S,D1,M,0.213,0.248
M1,S,S,D1,M,0.449,0.449
D1,S,S,S,M,0.28,0.438
M1,S,M1,D1,M,0.21,0.42
S,S,S,D1,S,0.066,0.116
S,M1,M1,S,M,0.216,0.274
S,M1,M1,S,M,0.12,0.211
D1,M1,M1,S,M,0.648,0.753
M1,M1,S,D2,M,0.145,0.145
S,M1,D1,S,M,0.172,0.21
S,M1,S,S,M,0.104,0.209
S,S,S,D1,S,0.282,0.494
S,M1,S,D1,M,0.172,0.185
M1,M2,M1,S,S,0.134,0.144
M1,S,D1,D1,M,0.25,0.25
S,M1,D2,D1,M,0.377,0.406
M1,S,S,D1,M,0.407,0.407
M1,S,S,D1,M,0.166,0.166
D1,M1,D1,S,M,0.375,0.436
D1,M1,S,S,S,0.154,0.24
S,S,M1,D1,M,0.185,0.26
S,M1,S,D2,M,0.176,0.176
M1,M1,S,D1,M,0.192,0.192
M2,M1,M1,D1,M,0.478,0.478
S,M1,D1,D1,M,0.245,0.245
S,M1,M1,D2,M,0.534,0.534
M1,S,M1,S,M,0.369,0.369
S,S,M1,D1,M,0.222,0.222
S,M2,S,S,M,0.198,0.348
M1,M1,S,D1,M,0.456,0.456
S,M1,S,S,M,0.339,0.394
S,M2,S,D1,M,0.343,0.343
M2,M1,M1,D2,M,0.334,0.334
S,S,S,D2,M,0.231,0.231
S,M1,S,D1,S,0.422,0.491
S,S,S,D1,M,0.248,0.248
S,M1,M1,D1,M,0.188,0.188
S,M2,S,D1,M,0.132,0.167
M1,M1,S,D1,M,0.414,0.414
M1,M1,D1,D1,M,0.316,0.316
S,S,D1,D1,M,0.234,0.41
D1,M1,D1,S,M,0.174,0.272
M1,M2,M1,D1,M,0.185,0.185
S,M1,S,D1,M,0.271,0.271
S,S,M1,D1,M,0.202,0.202
S,S,S,D1,M,0.517,0.517
S,S,S,M1,M,0.569,0.569
S,M1,S,S,M,0.305,0.317
M1,M1,D1,D1,S,0.156,0.23
S,M1,S,D1,M,0.42,0.42
M1,S,S,D1,M,0.351,0.494
S,D1,D1,S,S,0.057,0.114
M1,M1,S,D2,M,0.462,0.651
S,M1,M1,D1,M,0.267,0.267
D1,D1,S,S,M,0.332,0.345
S,S,M2,D1,M,0.394,0.423
M1,M1,M1,D1,M,0.202,0.202
S,M1,S,D1,M,0.148,0.148
M1,M1,S,D1,S,0.199,0.28
S,M1,M1,D1,S,0.307,0.451
S,S,D1,D1,M,0.137,0.137
M1,M1,M1,S,M,0.177,0.184
M1,M1,D1,D1,M,0.661,0.661
M1,M1,S,S,M,0.299,0.299
D1,M1,M1,S,M,0.228,0.228
S,M1,M1,S,S,0.109,0.201
D1,M1,S,M1,M,0.296,0.318
M1,M1,D1,D1,M,0.229,0.402
D1,D1,S,S,M,0.221,0.221
M1,M1,S,D1,M,0.53,0.53
M1,M1,M1,S,M,0.273,0.273
D1,D1,S,S,S,0.396,0.482
D1,D1,S,D1,M,0.286,0.362
M1,M1,S,D1,M,0.141,0.141
M2,M1,M1,D1,M,0.307,0.307
S,M1,S,S,M,0.185,0.215
S,M1,S,D1,M,0.216,0.216
S,M1,S,D1,M,0.691,0.691
M1,M1,M1,D1,M,0.315,0.315
M1,S,M1,D1,M,0.459,0.459
M1,S,M1,D1,M,0.459,0.459
D1,D1,D1,M1,S,0.221,0.409
D1,M1,S,S,S,0.453,0.487
D1,M1,S,S,M,0.111,0.221
S,S,M1,D1,S,0.281,0.315
S,M1,S,S,M,0.185,0.234
S,M1,S,D1,M,0.188,0.293
S,M1,D1,D1,S,0.196,0.306
S,S,S,D1,S,0.178,0.207
D1,M1,M1,S,S,0.134,0.156
M1,M1,M1,M1,S,0.211,0.297
D1,M1,S,D1,M,0.163,0.326
D1,S,D2,D1,M,0.363,0.363
M1,M1,M1,M1,S,0.312,0.351
S,S,D1,M1,M,0.18,0.228
S,S,D2,S,M,0.224,0.393
S,M1,S,D1,S,0.272,0.306
S,S,S,S,S,0.344,0.37
M1,M1,D1,S,M,0.244,0.244
D1,M1,S,S,M,0.09,0.18
S,M1,S,M1,S,0.252,0.319
S,S,S,D1,M,0.376,0.476
M1,M1,M1,D1,M,0.347,0.347
S,M1,S,S,S,0.137,0.173
S,M1,M1,M1,M,0.283,0.567
D1,S,D1,S,S,0.332,0.332
D1,S,M1,D1,S,0.255,0.274
S,D1,D2,S,S,0.165,0.208
M1,S,S,S,S,0.169,0.238
D1,M1,S,D1,M,0.338,0.363
D1,M1,S,M1,S,0.199,0.312
D1,M1,S,D1,M,0.288,0.365
M1,M1,M1,D1,M,0.278,0.278
D1,M1,S,S,S,0.244,0.244
S,S,D1,M1,M,0.123,0.173
D1,D2,D1,S,S,0.078,0.138
S,M1,S,D1,M,0.307,0.307
S,M1,S,S,M,0.152,0.267
S,M1,M1,S,S,0.374,0.527
S,S,M1,D1,M,0.309,0.309
S,M1,S,S,M,0.168,0.195
D1,M1,S,S,S,0.255,0.359
M1,M1,S,S,M,0.264,0.463
S,M1,S,S,M,0.199,0.35
D1,M1,D2,S,S,0.143,0.223
D1,S,S,S,S,0.352,0.352
S,M1,S,S,M,0.129,0.129
S,S,S,M1,D,0.342,0.342
D1,S,D1,D1,M,0.255,0.51
S,M1,S,S,S,0.403,0.403
D1,S,M1,S,S,0.274,0.295
D1,M1,D1,M1,M,0.252,0.504
M2,M1,M1,S,S,0.156,0.274
S,D1,D1,D1,M,0.245,0.264
D1,M1,D1,S,S,0.278,0.435
M1,M1,S,S,M,0.142,0.142
S,D1,D1,S,M,0.208,0.325
S,D1,D1,S,M,0.262,0.369
D1,M1,S,M1,S,0.462,0.585
D1,M1,D1,M1,S,0.122,0.142
S,S,D1,D1,S,0.352,0.618
S,M1,D1,D1,M,0.374,0.374
D1,S,D1,D1,M,0.268,0.47
D2,M1,D1,D1,M,0.49,0.49
M2,M1,D1,D1,M,0.155,0.155
D1,D1,D1,M1,S,0.15,0.156
D1,S,S,S,S,0.269,0.379
S,S,D1,M1,M,0.076,0.134
S,S,M1,M1,S,0.291,0.388
S,M1,D1,D1,M,0.204,0.248
D1,D1,S,M1,M,0.282,0.282
S,D2,D1,D2,M,0.56,0.56
D1,S,S,S,S,0.22,0.31
S,S,D1,S,S,0.198,0.397
